warehouse_id,product_sku,available_quantity,reserved_quantity,safety_stock
WH_MAIN,P_101,486,51,100
WH_MAIN,P_102,173,29,60
WH_MAIN,P_103,177,29,50
WH_MAIN,P_104,93,11,30
WH_MAIN,P_105,128,19,40
WH_MAIN,P_106,278,36,80
WH_MAIN,P_201,161,17,50
WH_MAIN,P_202,54,3,20
WH_MAIN,P_203,84,7,25
WH_MAIN,P_204,110,16,30
WH_MAIN,P_205,78,9,15
WH_MAIN,P_301,384,100,150
WH_MAIN,P_302,145,29,60
WH_MAIN,P_303,75,10,25
WH_MAIN,P_304,40,4,15
WH_MAIN,P_401,161,31,60
WH_MAIN,P_402,154,22,50
WH_MAIN,P_403,74,17,35
WH_MAIN,P_404,100,7,25
WH_MAIN,P_405,83,4,20
WH_MAIN,P_406,95,7,30
WH_MAIN,P_501,304,63,100
WH_MAIN,P_502,233,52,80
WH_MAIN,P_503,185,42,70
WH_MAIN,P_504,123,17,40
WH_MAIN,P_505,154,28,50
WH_MAIN,P_506,158,30,60
