warehouse_id,product_sku,available_quantity,reserved_quantity,safety_stock
WH_MAIN,P_101,475,53,100
WH_MAIN,P_102,188,26,60
WH_MAIN,P_103,180,26,50
WH_MAIN,P_104,91,12,30
WH_MAIN,P_105,117,11,40
WH_MAIN,P_106,270,38,80
WH_MAIN,P_201,130,15,50
WH_MAIN,P_202,61,10,20
WH_MAIN,P_203,77,6,25
WH_MAIN,P_204,87,17,30
WH_MAIN,P_205,33,1,15
WH_MAIN,P_301,430,104,150
WH_MAIN,P_302,160,29,60
WH_MAIN,P_303,57,11,25
WH_MAIN,P_304,10,4,15
WH_MAIN,P_401,164,25,60
WH_MAIN,P_402,176,21,50
WH_MAIN,P_403,80,17,35
WH_MAIN,P_404,109,13,25
WH_MAIN,P_405,89,9,20
WH_MAIN,P_406,84,14,30
WH_MAIN,P_501,291,58,100
WH_MAIN,P_502,259,45,80
WH_MAIN,P_503,211,42,70
WH_MAIN,P_504,92,20,40
WH_MAIN,P_505,142,27,50
WH_MAIN,P_506,180,33,60
