warehouse_id,product_sku,available_quantity,reserved_quantity,safety_stock
WH_MAIN,P_101,470,45,100
WH_MAIN,P_102,175,35,60
WH_MAIN,P_103,184,29,50
WH_MAIN,P_104,115,13,30
WH_MAIN,P_105,91,18,40
WH_MAIN,P_106,264,40,80
WH_MAIN,P_201,159,18,50
WH_MAIN,P_202,36,9,20
WH_MAIN,P_203,81,7,25
WH_MAIN,P_204,93,18,30
WH_MAIN,P_205,64,2,15
WH_MAIN,P_301,427,98,150
WH_MAIN,P_302,177,33,60
WH_MAIN,P_303,95,10,25
WH_MAIN,P_304,57,10,15
WH_MAIN,P_401,183,32,60
WH_MAIN,P_402,142,30,50
WH_MAIN,P_403,119,15,35
WH_MAIN,P_404,63,13,25
WH_MAIN,P_405,72,4,20
WH_MAIN,P_406,70,15,30
WH_MAIN,P_501,321,56,100
WH_MAIN,P_502,255,55,80
WH_MAIN,P_503,185,41,70
WH_MAIN,P_504,113,23,40
WH_MAIN,P_505,136,28,50
WH_MAIN,P_506,209,34,60
