"supplier_id","supplier_name","product_sku","product_name","lead_time_days","raw_net_demand","pack_size","min_order_quantity","order_quantity"
"SUP_COSUMAR","Cosumar","P_301","Sucre Granule 1kg","3","551","25","50","575.0"
"SUP_BIMO","Bimo (Mondelez)","P_404","Cookies Chocolat","2","152","12","24","156.0"
"SUP_COPAG","Copag (Jaouda)","P_505","Jus Multifruits 1L","1","280","12","24","288.0"
"SUP_DANONE","Centrale Danone","P_103","Yogurt Vanilla","1","224","24","50","240.0"
"SUP_BIMO","Bimo (Mondelez)","P_405","Gaufrettes Fraise","2","140","12","24","144.0"
"SUP_BIMO","Bimo (Mondelez)","P_406","Crackers Sales","2","100","18","36","108.0"
"SUP_LESIEUR","Lesieur Cristal","P_203","Mayonnaise 250g","2","230","12","24","240.0"
"SUP_COPAG","Copag (Jaouda)","P_504","Jus Pomme 1L","1","233","12","24","240.0"
"SUP_DANONE","Centrale Danone","P_102","Yogurt Strawberry","1","291","24","50","312.0"
"SUP_DANONE","Centrale Danone","P_104","Danette Chocolate","1","167","12","48","168.0"
"SUP_COPAG","Copag (Jaouda)","P_502","Raib 500ml","1","222","12","48","228.0"
"SUP_COPAG","Copag (Jaouda)","P_501","Lben 500ml","1","316","12","48","324.0"
"SUP_DANONE","Centrale Danone","P_106","Raibi Jamila","1","184","12","60","192.0"
"SUP_COSUMAR","Cosumar","P_302","Sucre Morceaux 1kg","3","129","20","40","140.0"
"SUP_COPAG","Copag (Jaouda)","P_503","Jus Orange 1L","1","134","12","24","144.0"
"SUP_DANONE","Centrale Danone","P_101","Milk 1L","1","137","12","100","144.0"
"SUP_BIMO","Bimo (Mondelez)","P_403","Biscuit Petit Dejeuner","2","213","12","36","216.0"
"SUP_BIMO","Bimo (Mondelez)","P_401","Tagger Chocolate","2","345","24","48","360.0"
"SUP_LESIEUR","Lesieur Cristal","P_205","Moutarde 200g","2","9","12","24","24.0"
"SUP_COSUMAR","Cosumar","P_303","Sucre Glace 500g","3","26","12","24","36.0"
"SUP_BIMO","Bimo (Mondelez)","P_402","Tagger Vanille","2","271","24","48","288.0"
"SUP_LESIEUR","Lesieur Cristal","P_201","Huile Tournesol 1L","2","291","12","24","300.0"
"SUP_DANONE","Centrale Danone","P_105","Activia Natural","1","150","6","36","150.0"
"SUP_COPAG","Copag (Jaouda)","P_506","Lait Fermente 1L","1","276","12","36","276.0"
"SUP_LESIEUR","Lesieur Cristal","P_204","Ketchup 340g","2","185","12","24","192.0"
"SUP_COSUMAR","Cosumar","P_304","Miel 500g","3","16","6","12","18.0"
"SUP_LESIEUR","Lesieur Cristal","P_202","Huile Olive 500ml","2","55","6","12","60.0"
