"supplier_id","supplier_name","product_sku","product_name","lead_time_days","raw_net_demand","pack_size","min_order_quantity","order_quantity"
"SUP_BIMO","Bimo (Mondelez)","P_401","Tagger Chocolate","2","306","24","48","312.0"
"SUP_COPAG","Copag (Jaouda)","P_503","Jus Orange 1L","1","228","12","24","228.0"
"SUP_DANONE","Centrale Danone","P_101","Milk 1L","1","183","12","100","192.0"
"SUP_COSUMAR","Cosumar","P_302","Sucre Morceaux 1kg","3","259","20","40","260.0"
"SUP_DANONE","Centrale Danone","P_106","Raibi Jamila","1","319","12","60","324.0"
"SUP_COPAG","Copag (Jaouda)","P_501","Lben 500ml","1","219","12","48","228.0"
"SUP_COPAG","Copag (Jaouda)","P_502","Raib 500ml","1","226","12","48","228.0"
"SUP_BIMO","Bimo (Mondelez)","P_403","Biscuit Petit Dejeuner","2","171","12","36","180.0"
"SUP_LESIEUR","Lesieur Cristal","P_205","Moutarde 200g","2","48","12","24","48.0"
"SUP_BIMO","Bimo (Mondelez)","P_406","Crackers Sales","2","140","18","36","144.0"
"SUP_COSUMAR","Cosumar","P_301","Sucre Granule 1kg","3","312","25","50","325.0"
"SUP_BIMO","Bimo (Mondelez)","P_404","Cookies Chocolat","2","187","12","24","192.0"
"SUP_COPAG","Copag (Jaouda)","P_505","Jus Multifruits 1L","1","197","12","24","204.0"
"SUP_BIMO","Bimo (Mondelez)","P_405","Gaufrettes Fraise","2","107","12","24","108.0"
"SUP_DANONE","Centrale Danone","P_103","Yogurt Vanilla","1","102","24","50","120.0"
"SUP_DANONE","Centrale Danone","P_102","Yogurt Strawberry","1","259","24","50","264.0"
"SUP_DANONE","Centrale Danone","P_104","Danette Chocolate","1","102","12","48","108.0"
"SUP_LESIEUR","Lesieur Cristal","P_203","Mayonnaise 250g","2","167","12","24","168.0"
"SUP_COPAG","Copag (Jaouda)","P_504","Jus Pomme 1L","1","71","12","24","72.0"
"SUP_LESIEUR","Lesieur Cristal","P_204","Ketchup 340g","2","209","12","24","216.0"
"SUP_LESIEUR","Lesieur Cristal","P_202","Huile Olive 500ml","2","124","6","12","126.0"
"SUP_LESIEUR","Lesieur Cristal","P_201","Huile Tournesol 1L","2","245","12","24","252.0"
"SUP_BIMO","Bimo (Mondelez)","P_402","Tagger Vanille","2","260","24","48","264.0"
"SUP_COSUMAR","Cosumar","P_303","Sucre Glace 500g","3","45","12","24","48.0"
"SUP_DANONE","Centrale Danone","P_105","Activia Natural","1","238","6","36","240.0"
"SUP_COPAG","Copag (Jaouda)","P_506","Lait Fermente 1L","1","68","12","36","72.0"
"SUP_COSUMAR","Cosumar","P_304","Miel 500g","3","21","6","12","24.0"
