"supplier_id","supplier_name","product_sku","product_name","lead_time_days","raw_net_demand","pack_size","min_order_quantity","order_quantity"
"SUP_COPAG","Copag (Jaouda)","P_501","Lben 500ml","1","366","12","48","372.0"
"SUP_BIMO","Bimo (Mondelez)","P_401","Tagger Chocolate","2","349","24","48","360.0"
"SUP_DANONE","Centrale Danone","P_106","Raibi Jamila","1","279","12","60","288.0"
"SUP_COPAG","Copag (Jaouda)","P_502","Raib 500ml","1","265","12","48","276.0"
"SUP_COSUMAR","Cosumar","P_302","Sucre Morceaux 1kg","3","241","20","40","260.0"
"SUP_DANONE","Centrale Danone","P_101","Milk 1L","1","224","12","100","228.0"
"SUP_BIMO","Bimo (Mondelez)","P_403","Biscuit Petit Dejeuner","2","242","12","36","252.0"
"SUP_COPAG","Copag (Jaouda)","P_503","Jus Orange 1L","1","201","12","24","204.0"
"SUP_LESIEUR","Lesieur Cristal","P_205","Moutarde 200g","2","156","12","24","156.0"
"SUP_BIMO","Bimo (Mondelez)","P_406","Crackers Sales","2","128","18","36","144.0"
"SUP_COSUMAR","Cosumar","P_301","Sucre Granule 1kg","3","606","25","50","625.0"
"SUP_BIMO","Bimo (Mondelez)","P_404","Cookies Chocolat","2","164","12","24","168.0"
"SUP_DANONE","Centrale Danone","P_103","Yogurt Vanilla","1","219","24","50","240.0"
"SUP_COPAG","Copag (Jaouda)","P_505","Jus Multifruits 1L","1","109","12","24","120.0"
"SUP_BIMO","Bimo (Mondelez)","P_405","Gaufrettes Fraise","2","44","12","24","48.0"
"SUP_LESIEUR","Lesieur Cristal","P_202","Huile Olive 500ml","2","51","6","12","54.0"
"SUP_DANONE","Centrale Danone","P_105","Activia Natural","1","153","6","36","156.0"
"SUP_LESIEUR","Lesieur Cristal","P_204","Ketchup 340g","2","214","12","24","216.0"
"SUP_COSUMAR","Cosumar","P_304","Miel 500g","3","40","6","12","42.0"
"SUP_BIMO","Bimo (Mondelez)","P_402","Tagger Vanille","2","366","24","48","384.0"
"SUP_COPAG","Copag (Jaouda)","P_506","Lait Fermente 1L","1","228","12","36","228.0"
"SUP_LESIEUR","Lesieur Cristal","P_201","Huile Tournesol 1L","2","254","12","24","264.0"
"SUP_COSUMAR","Cosumar","P_303","Sucre Glace 500g","3","66","12","24","72.0"
"SUP_DANONE","Centrale Danone","P_102","Yogurt Strawberry","1","235","24","50","240.0"
"SUP_DANONE","Centrale Danone","P_104","Danette Chocolate","1","99","12","48","108.0"
"SUP_LESIEUR","Lesieur Cristal","P_203","Mayonnaise 250g","2","105","12","24","108.0"
"SUP_COPAG","Copag (Jaouda)","P_504","Jus Pomme 1L","1","193","12","24","204.0"
