"supplier_id","supplier_name","product_sku","product_name","lead_time_days","raw_net_demand","pack_size","min_order_quantity","order_quantity"
"SUP_COPAG","Copag (Jaouda)","P_504","Jus Pomme 1L","1","120","12","24","120.0"
"SUP_DANONE","Centrale Danone","P_102","Yogurt Strawberry","1","400","24","50","408.0"
"SUP_DANONE","Centrale Danone","P_104","Danette Chocolate","1","95","12","48","96.0"
"SUP_LESIEUR","Lesieur Cristal","P_203","Mayonnaise 250g","2","80","12","24","84.0"
"SUP_COPAG","Copag (Jaouda)","P_506","Lait Fermente 1L","1","245","12","36","252.0"
"SUP_BIMO","Bimo (Mondelez)","P_402","Tagger Vanille","2","384","24","48","384.0"
"SUP_COSUMAR","Cosumar","P_303","Sucre Glace 500g","3","16","12","24","24.0"
"SUP_LESIEUR","Lesieur Cristal","P_201","Huile Tournesol 1L","2","255","12","24","264.0"
"SUP_DANONE","Centrale Danone","P_105","Activia Natural","1","150","6","36","150.0"
"SUP_LESIEUR","Lesieur Cristal","P_204","Ketchup 340g","2","106","12","24","108.0"
"SUP_LESIEUR","Lesieur Cristal","P_202","Huile Olive 500ml","2","129","6","12","132.0"
"SUP_COSUMAR","Cosumar","P_304","Miel 500g","3","64","6","12","66.0"
"SUP_DANONE","Centrale Danone","P_103","Yogurt Vanilla","1","164","24","50","168.0"
"SUP_COSUMAR","Cosumar","P_301","Sucre Granule 1kg","3","424","25","50","425.0"
"SUP_BIMO","Bimo (Mondelez)","P_404","Cookies Chocolat","2","81","12","24","84.0"
"SUP_BIMO","Bimo (Mondelez)","P_405","Gaufrettes Fraise","2","139","12","24","144.0"
"SUP_COPAG","Copag (Jaouda)","P_505","Jus Multifruits 1L","1","250","12","24","252.0"
"SUP_BIMO","Bimo (Mondelez)","P_406","Crackers Sales","2","170","18","36","180.0"
"SUP_DANONE","Centrale Danone","P_101","Milk 1L","1","213","12","100","216.0"
"SUP_LESIEUR","Lesieur Cristal","P_205","Moutarde 200g","2","31","12","24","36.0"
"SUP_DANONE","Centrale Danone","P_106","Raibi Jamila","1","223","12","60","228.0"
"SUP_COPAG","Copag (Jaouda)","P_502","Raib 500ml","1","193","12","48","204.0"
"SUP_COPAG","Copag (Jaouda)","P_503","Jus Orange 1L","1","172","12","24","180.0"
"SUP_COPAG","Copag (Jaouda)","P_501","Lben 500ml","1","282","12","48","288.0"
"SUP_BIMO","Bimo (Mondelez)","P_403","Biscuit Petit Dejeuner","2","190","12","36","192.0"
"SUP_COSUMAR","Cosumar","P_302","Sucre Morceaux 1kg","3","136","20","40","140.0"
"SUP_BIMO","Bimo (Mondelez)","P_401","Tagger Chocolate","2","255","24","48","264.0"
