warehouse_id,product_sku,available_quantity,reserved_quantity,safety_stock
WH_MAIN,P_101,496,45,100
WH_MAIN,P_102,177,27,60
WH_MAIN,P_103,156,27,50
WH_MAIN,P_104,98,13,30
WH_MAIN,P_105,150,14,40
WH_MAIN,P_106,252,38,80
WH_MAIN,P_201,141,24,50
WH_MAIN,P_202,86,10,20
WH_MAIN,P_203,92,9,25
WH_MAIN,P_204,71,19,30
WH_MAIN,P_205,39,5,15
WH_MAIN,P_301,421,96,150
WH_MAIN,P_302,177,27,60
WH_MAIN,P_303,40,11,25
WH_MAIN,P_304,22,4,15
WH_MAIN,P_401,183,26,60
WH_MAIN,P_402,164,26,50
WH_MAIN,P_403,129,12,35
WH_MAIN,P_404,52,8,25
WH_MAIN,P_405,66,6,20
WH_MAIN,P_406,104,11,30
WH_MAIN,P_501,328,59,100
WH_MAIN,P_502,261,48,80
WH_MAIN,P_503,192,45,70
WH_MAIN,P_504,121,22,40
WH_MAIN,P_505,134,20,50
WH_MAIN,P_506,208,37,60
