warehouse_id,product_sku,available_quantity,reserved_quantity,safety_stock
WH_MAIN,P_101,511,45,100
WH_MAIN,P_102,192,35,60
WH_MAIN,P_103,178,23,50
WH_MAIN,P_104,104,8,30
WH_MAIN,P_105,101,13,40
WH_MAIN,P_106,262,41,80
WH_MAIN,P_201,120,23,50
WH_MAIN,P_202,39,4,20
WH_MAIN,P_203,102,15,25
WH_MAIN,P_204,72,20,30
WH_MAIN,P_205,69,4,15
WH_MAIN,P_301,412,105,150
WH_MAIN,P_302,157,30,60
WH_MAIN,P_303,57,7,25
WH_MAIN,P_304,31,8,15
WH_MAIN,P_401,171,30,60
WH_MAIN,P_402,179,26,50
WH_MAIN,P_403,91,15,35
WH_MAIN,P_404,77,11,25
WH_MAIN,P_405,61,12,20
WH_MAIN,P_406,118,15,30
WH_MAIN,P_501,287,58,100
WH_MAIN,P_502,251,47,80
WH_MAIN,P_503,201,38,70
WH_MAIN,P_504,90,23,40
WH_MAIN,P_505,155,25,50
WH_MAIN,P_506,205,31,60
