"supplier_id","supplier_name","product_sku","product_name","lead_time_days","raw_net_demand","pack_size","min_order_quantity","order_quantity"
"SUP_BIMO","Bimo (Mondelez)","P_402","Tagger Vanille","2","298","24","48","312.0"
"SUP_LESIEUR","Lesieur Cristal","P_204","Ketchup 340g","2","246","12","24","252.0"
"SUP_LESIEUR","Lesieur Cristal","P_201","Huile Tournesol 1L","2","278","12","24","288.0"
"SUP_LESIEUR","Lesieur Cristal","P_202","Huile Olive 500ml","2","107","6","12","108.0"
"SUP_DANONE","Centrale Danone","P_105","Activia Natural","1","169","6","36","174.0"
"SUP_COPAG","Copag (Jaouda)","P_506","Lait Fermente 1L","1","148","12","36","156.0"
"SUP_COSUMAR","Cosumar","P_303","Sucre Glace 500g","3","41","12","24","48.0"
"SUP_COSUMAR","Cosumar","P_304","Miel 500g","3","63","6","12","66.0"
"SUP_LESIEUR","Lesieur Cristal","P_203","Mayonnaise 250g","2","161","12","24","168.0"
"SUP_COPAG","Copag (Jaouda)","P_504","Jus Pomme 1L","1","99","12","24","108.0"
"SUP_DANONE","Centrale Danone","P_102","Yogurt Strawberry","1","168","24","50","168.0"
"SUP_DANONE","Centrale Danone","P_104","Danette Chocolate","1","95","12","48","96.0"
"SUP_BIMO","Bimo (Mondelez)","P_403","Biscuit Petit Dejeuner","2","263","12","36","264.0"
"SUP_DANONE","Centrale Danone","P_101","Milk 1L","1","127","12","100","132.0"
"SUP_COSUMAR","Cosumar","P_302","Sucre Morceaux 1kg","3","254","20","40","260.0"
"SUP_LESIEUR","Lesieur Cristal","P_205","Moutarde 200g","2","70","12","24","72.0"
"SUP_COPAG","Copag (Jaouda)","P_501","Lben 500ml","1","467","12","48","468.0"
"SUP_COPAG","Copag (Jaouda)","P_503","Jus Orange 1L","1","197","12","24","204.0"
"SUP_DANONE","Centrale Danone","P_106","Raibi Jamila","1","351","12","60","360.0"
"SUP_BIMO","Bimo (Mondelez)","P_401","Tagger Chocolate","2","227","24","48","240.0"
"SUP_COPAG","Copag (Jaouda)","P_502","Raib 500ml","1","392","12","48","396.0"
"SUP_DANONE","Centrale Danone","P_103","Yogurt Vanilla","1","159","24","50","168.0"
"SUP_BIMO","Bimo (Mondelez)","P_405","Gaufrettes Fraise","2","145","12","24","156.0"
"SUP_COSUMAR","Cosumar","P_301","Sucre Granule 1kg","3","546","25","50","550.0"
"SUP_BIMO","Bimo (Mondelez)","P_406","Crackers Sales","2","176","18","36","180.0"
"SUP_COPAG","Copag (Jaouda)","P_505","Jus Multifruits 1L","1","175","12","24","180.0"
"SUP_BIMO","Bimo (Mondelez)","P_404","Cookies Chocolat","2","154","12","24","156.0"
