warehouse_id,product_sku,available_quantity,reserved_quantity,safety_stock
WH_MAIN,P_101,499,55,100
WH_MAIN,P_102,194,31,60
WH_MAIN,P_103,178,30,50
WH_MAIN,P_104,103,13,30
WH_MAIN,P_105,117,19,40
WH_MAIN,P_106,265,39,80
WH_MAIN,P_201,169,20,50
WH_MAIN,P_202,74,8,20
WH_MAIN,P_203,98,12,25
WH_MAIN,P_204,80,12,30
WH_MAIN,P_205,34,5,15
WH_MAIN,P_301,392,100,150
WH_MAIN,P_302,158,33,60
WH_MAIN,P_303,65,8,25
WH_MAIN,P_304,65,1,15
WH_MAIN,P_401,179,35,60
WH_MAIN,P_402,123,29,50
WH_MAIN,P_403,78,17,35
WH_MAIN,P_404,80,12,25
WH_MAIN,P_405,58,12,20
WH_MAIN,P_406,100,9,30
WH_MAIN,P_501,321,61,100
WH_MAIN,P_502,249,45,80
WH_MAIN,P_503,197,42,70
WH_MAIN,P_504,132,18,40
WH_MAIN,P_505,168,30,50
WH_MAIN,P_506,189,31,60
